prefix,vendor
80BE05,Apple
80D605,Apple
80E650,Apple
80EA96,Apple
80ED2C,Apple
842999,Apple
843835,Apple
844167,Apple
84788B,Apple
848506,Apple
8489AD,Apple
848E0C,Apple
84A134,Apple
84B153,Apple
84FCAC,Apple
84FCFE,Apple
881908,Apple
881FA1,Apple
885395,Apple
8863DF,Apple
8866A5,Apple
886B6E,Apple
88C663,Apple
88CB87,Apple
88E87F,Apple
8C006D,Apple
8C2937,Apple
8C2DAA,Apple
8C5877,Apple
8C7B9D,Apple
8C7C92,Apple
8C8EF2,Apple
8CFABA,Apple
9027E4,Apple
903C92,Apple
9060F1,Apple
907240,Apple
90840D,Apple
908D6C,Apple
90B0ED,Apple
90B21F,Apple
90C1C6,Apple
90FD61,Apple
949426,Apple
94E96A,Apple
94F6A3,Apple
9800C6,Apple
9801A7,Apple
9803D8,Apple
985AEB,Apple
989E63,Apple
98B8E3,Apple
98D6BB,Apple
98E0D9,Apple
98F0AB,Apple
98FE94,Apple
9C04EB,Apple
9C207B,Apple
9C293F,Apple
9C35EB,Apple
9C4FDA,Apple
9C84BF,Apple
9C8BA0,Apple
9CE65E,Apple
9CF387,Apple
9CF48E,Apple
9CFC01,Apple
A01828,Apple
A0999B,Apple
A0D795,Apple
A0EDCD,Apple
A45E60,Apple
A46706,Apple
A4B197,Apple
A4C361,Apple
A4D18C,Apple
A4D1D2,Apple
A4F1E8,Apple
A82066,Apple
A85B78,Apple
A85C2C,Apple
A8667F,Apple
A886DD,Apple
A88808,Apple
A88E24,Apple
A8968A,Apple
A8BBCF,Apple
A8FAD8,Apple
AC1F74,Apple
AC293A,Apple
AC3C0B,Apple
AC61EA,Apple
AC7F3E,Apple
AC87A3,Apple
ACBC32,Apple
ACCF5C,Apple
ACE4B5,Apple
ACFDEC,Apple
B019C6,Apple
B03495,Apple
B065BD,Apple
B0702D,Apple
B09FBA,Apple
B0CA68,Apple
B418D1,Apple
B44BD2,Apple
B48B19,Apple
B49CDF,Apple
B4F0AB,Apple
B8098A,Apple
B817C2,Apple
B841A4,Apple
B844D9,Apple
B853AC,Apple
B8634D,Apple
B8782E,Apple
B88D12,Apple
B8C111,Apple
B8C75D,Apple
B8E856,Apple
B8F6B1,Apple
B8FF61,Apple
BC3BAF,Apple
BC4CC4,Apple
BC52B7,Apple
BC5436,Apple
BC6778,Apple
BC6C21,Apple
BC926B,Apple
BC9FEF,Apple
BCA920,Apple
BCEC5D,Apple
C01ADA,Apple
C06394,Apple
C0847A,Apple
C09F42,Apple
C0A53E,Apple
C0CCF8,Apple
C0CECD,Apple
C0D012,Apple
C0F2FB,Apple
C42C03,Apple
C49880,Apple
C4B301,Apple
C81EE7,Apple
C82A14,Apple
C8334B,Apple
C83C85,Apple
C869CD,Apple
C86F1D,Apple
C88550,Apple
C8B5B7,Apple
C8BCC8,Apple
C8D083,Apple
C8E0EB,Apple
C8F650,Apple
CC088D,Apple
CC08E0,Apple
CC20E8,Apple
CC25EF,Apple
CC29F5,Apple
CC4463,Apple
CC785F,Apple
CCC760,Apple
D0034B,Apple
D023DB,Apple
D025BC,Apple
D03311,Apple
D04F7E,Apple
D0817A,Apple
D0A637,Apple
D0C5F3,Apple
D0D2B0,Apple
D0E140,Apple
D4619D,Apple
D49A20,Apple
D4A33D,Apple
D4DCCD,Apple
D4F46F,Apple
D8004D,Apple
D81D72,Apple
D83062,Apple
D89695,Apple
D89E3F,Apple
D8A25E,Apple
D8BB2C,Apple
D8CF9C,Apple
D8D1CB,Apple
DC0C5C,Apple
DC2B2A,Apple
DC2B61,Apple
DC3714,Apple
DC415F,Apple
DC56E7,Apple
DC86D8,Apple
DC9B9C,Apple
DCA4CA,Apple
DCA904,Apple
E05F45,Apple
E06678,Apple
E0ACCB,Apple
E0B52D,Apple
E0B9BA,Apple
E0C767,Apple
E0C97A,Apple
E0F5C6,Apple
E0F847,Apple
E425E7,Apple
E42B34,Apple
E48B7F,Apple
E49A79,Apple
E4C63D,Apple
E4CE8F,Apple
E4E4AB,Apple
E8040B,Apple
E80688,Apple
E8802E,Apple
E88D28,Apple
E8B2AC,Apple
EC3586,Apple
EC852F,Apple
ECADB8,Apple
F01898,Apple
F02475,Apple
F07960,Apple
F0989D,Apple
F099BF,Apple
F0B0E7,Apple
F0B479,Apple
F0C1F1,Apple
F0CBA1,Apple
F0D1A9,Apple
F0DBE2,Apple
F0DBF8,Apple
F0DCE2,Apple
F0F61C,Apple
F40F24,Apple
F41BA1,Apple
F431C3,Apple
F437B7,Apple
F45C89,Apple
F4F15A,Apple
F4F951,Apple
F80377,Apple
F81EDF,Apple
F82793,Apple
F83880,Apple
F84D89,Apple
F86214,Apple
F86FC1,Apple
F895EA,Apple
FC253F,Apple
FCD848,Apple
FCE998,Apple
FCFC48,Apple
#
# --- Espressif (ESP8266/ESP32 - the most common DIY and budget IoT chipset) ---
240AC4,Espressif (IoT module)
246F28,Espressif (IoT module)
24B2DE,Espressif (IoT module)
2C3AE8,Espressif (IoT module)
30AEA4,Espressif (IoT module)
3C6105,Espressif (IoT module)
3C71BF,Espressif (IoT module)
40F520,Espressif (IoT module)
441793,Espressif (IoT module)
483FDA,Espressif (IoT module)
4C11AE,Espressif (IoT module)
545AA6,Espressif (IoT module)
5CCF7F,Espressif (IoT module)
600194,Espressif (IoT module)
68C63A,Espressif (IoT module)
7C9EBD,Espressif (IoT module)
7CDFA1,Espressif (IoT module)
807D3A,Espressif (IoT module)
840D8E,Espressif (IoT module)
84CCA8,Espressif (IoT module)
84F3EB,Espressif (IoT module)
8CAAB5,Espressif (IoT module)
90380C,Espressif (IoT module)
94B97E,Espressif (IoT module)
98F4AB,Espressif (IoT module)
A020A6,Espressif (IoT module)
A47B9D,Espressif (IoT module)
A4CF12,Espressif (IoT module)
AC0BFB,Espressif (IoT module)
AC67B2,Espressif (IoT module)
B4E62D,Espressif (IoT module)
B8F009,Espressif (IoT module)
BCDDC2,Espressif (IoT module)
C44F33,Espressif (IoT module)
C82B96,Espressif (IoT module)
C8C9A3,Espressif (IoT module)
CC50E3,Espressif (IoT module)
D8A01D,Espressif (IoT module)
D8BFC0,Espressif (IoT module)
DC4F22,Espressif (IoT module)
E09806,Espressif (IoT module)
E8DB84,Espressif (IoT module)
EC64C9,Espressif (IoT module)
ECFABC,Espressif (IoT module)
F008D1,Espressif (IoT module)
F4CFA2,Espressif (IoT module)
FCF5C4,Espressif (IoT module)
#
# --- Raspberry Pi ---
28CDC1,Raspberry Pi
2CCF67,Raspberry Pi
B827EB,Raspberry Pi
D83ADD,Raspberry Pi
DCA632,Raspberry Pi
E45F01,Raspberry Pi
#
# --- Amazon (Echo, Fire TV, Kindle, eero) ---
00FC8B,Amazon
0C47C9,Amazon
10AE60,Amazon
18742E,Amazon
1C12B0,Amazon
34D270,Amazon
38F73D,Amazon
40B4CD,Amazon
44650D,Amazon
44A56E,Amazon
4CEFC0,Amazon
50DCE7,Amazon
50F5DA,Amazon
54E019,Amazon
6837E9,Amazon
6854FD,Amazon
6C5697,Amazon
747548,Amazon
74C246,Amazon
7CD566,Amazon
84D6D0,Amazon
8871E5,Amazon
8C4962,Amazon
A002DC,Amazon
A0D2B1,Amazon
AC63BE,Amazon
B47C9C,Amazon
C8979F,Amazon
CCF735,Amazon
D8BBC1,Amazon
EC0BAE,Amazon
F0272D,Amazon
F08173,Amazon
F0D2F1,Amazon
FC65DE,Amazon
FCA183,Amazon
#
# --- Google (Nest, Chromecast, Home, Pixel) ---
001A11,Google
089E08,Google
1CF29A,Google
201F3B,Google
30FD38,Google
3C5AB4,Google
44070B,Google
48D6D5,Google
546009,Google
6CADF8,Google
703ACB,Google
9495A0,Google
94EB2C,Google
A47733,Google
D86C63,Google
F40304,Google
F4F5D8,Google
F4F5E8,Google
18B430,Google Nest
641666,Google Nest
#
# --- Samsung ---
0012FB,Samsung
001599,Samsung
002119,Samsung
002454,Samsung
0808C2,Samsung
08D42B,Samsung
0C1420,Samsung
101DC0,Samsung
1449E0,Samsung
147DDA,Samsung
183F47,Samsung
1C5A3E,Samsung
2013E0,Samsung
244B03,Samsung
24C696,Samsung
28395E,Samsung
2C4401,Samsung
301966,Samsung
34145F,Samsung
3423BA,Samsung
380A94,Samsung
38AA3C,Samsung
3C8BFE,Samsung
400E85,Samsung
444E1A,Samsung
44783E,Samsung
4844F7,Samsung
4C3C16,Samsung
503275,Samsung
50CCF8,Samsung
54880E,Samsung
5C0A5B,Samsung
5C2E59,Samsung
606BBD,Samsung
641CAE,Samsung
682737,Samsung
6C2F2C,Samsung
702C1F,Samsung
781FDB,Samsung
789ED0,Samsung
78A873,Samsung
7C0BC6,Samsung
7CF854,Samsung
805719,Samsung
840B2D,Samsung
8425DB,Samsung
88329B,Samsung
8C71F8,Samsung
8C7712,Samsung
90187C,Samsung
94350A,Samsung
945103,Samsung
980C82,Samsung
9C0298,Samsung
9C3AAF,Samsung
A00798,Samsung
A00BBA,Samsung
A02195,Samsung
A49A58,Samsung
A8F274,Samsung
AC5F3E,Samsung
B047BF,Samsung
B43A28,Samsung
B479A7,Samsung
BC1485,Samsung
BC20A4,Samsung
BC4486,Samsung
BC851F,Samsung
C0BDD1,Samsung
C44202,Samsung
C4576E,Samsung
C81479,Samsung
C8BA94,Samsung
CC07AB,Samsung
CCB11A,Samsung
D022BE,Samsung
D059E4,Samsung
D487D8,Samsung
D4E8B2,Samsung
D857EF,Samsung
D890E8,Samsung
DC44B6,Samsung
E4121D,Samsung
E440E2,Samsung
E8039A,Samsung
E8508B,Samsung
EC1F72,Samsung
EC9BF3,Samsung
F025B7,Samsung
F05A09,Samsung
F409D8,Samsung
F47B5E,Samsung
F8042E,Samsung
FC0012,Samsung
FC8F90,Samsung
FCA13E,Samsung
FCC734,Samsung
#
# --- TP-Link ---
14CC20,TP-Link
18D6C7,TP-Link
1C3BF3,TP-Link
30B5C2,TP-Link
3C46D8,TP-Link
40169F,TP-Link
50C7BF,TP-Link
54C80F,TP-Link
6032B1,TP-Link
68FF7B,TP-Link
6C5AB0,TP-Link
704F57,TP-Link
74DA88,TP-Link
788CB5,TP-Link
8416F9,TP-Link
90F652,TP-Link
98DAC4,TP-Link
A0F3C1,TP-Link
AC84C6,TP-Link
B0487A,TP-Link
B0958E,TP-Link
BC4699,TP-Link
C006C3,TP-Link
C025E9,TP-Link
C46E1F,TP-Link
C4E984,TP-Link
CC32E5,TP-Link
D807B6,TP-Link
D80D17,TP-Link
E4C32A,TP-Link
E848B8,TP-Link
EC086B,TP-Link
EC888F,TP-Link
F0F336,TP-Link
F483CD,TP-Link
F4EC38,TP-Link
F81A67,TP-Link
F8D111,TP-Link
FC7C02,TP-Link
#
# --- Netgear ---
00095B,Netgear
000FB5,Netgear
00146C,Netgear
00184D,Netgear
001B2F,Netgear
001E2A,Netgear
001F33,Netgear
00223F,Netgear
0024B2,Netgear
0026F2,Netgear
04A151,Netgear
08028E,Netgear
08BD43,Netgear
200CC8,Netgear
204E7F,Netgear
28C68E,Netgear
2C3033,Netgear
30469A,Netgear
3C3786,Netgear
405D82,Netgear
4494FC,Netgear
4C60DE,Netgear
6CB0CE,Netgear
6CCDD6,Netgear
744401,Netgear
803773,Netgear
841B5E,Netgear
9C3DCF,Netgear
A00460,Netgear
A021B7,Netgear
A040A0,Netgear
A42B8C,Netgear
B03956,Netgear
B07FB9,Netgear
B0B98A,Netgear
C03F0E,Netgear
C0FFD4,Netgear
C40415,Netgear
C43DC7,Netgear
CC40D0,Netgear
DCEF09,Netgear
E0469A,Netgear
E091F5,Netgear
E4F4C6,Netgear
E8FCAF,Netgear
F87394,Netgear
#
# --- Ubiquiti ---
00156D,Ubiquiti
002722,Ubiquiti
0418D6,Ubiquiti
18E829,Ubiquiti
245A4C,Ubiquiti
24A43C,Ubiquiti
44D9E7,Ubiquiti
602232,Ubiquiti
687251,Ubiquiti
68D79A,Ubiquiti
70A741,Ubiquiti
7483C2,Ubiquiti
74ACB9,Ubiquiti
784558,Ubiquiti
788A20,Ubiquiti
802AA8,Ubiquiti
942A6F,Ubiquiti
9C05D6,Ubiquiti
AC8BA9,Ubiquiti
B4FBE4,Ubiquiti
D021F9,Ubiquiti
DC9FDB,Ubiquiti
E063DA,Ubiquiti
E43883,Ubiquiti
F09FC2,Ubiquiti
F4E2C6,Ubiquiti
FCECDA,Ubiquiti
#
# --- Intel (wifi chipsets in laptops) ---
001B21,Intel
001E64,Intel
0021D8,Intel
0024D7,Intel
0026C6,Intel
34138D,Intel
344B50,Intel
34E12D,Intel
3C9772,Intel
44032C,Intel
48513F,Intel
4C0289,Intel
5CE0C5,Intel
64D4DA,Intel
6C8814,Intel
7C7A91,Intel
8086F2,Intel
84A6C8,Intel
88B111,Intel
8C1645,Intel
94659C,Intel
9CB6D0,Intel
A088B4,Intel
A0C589,Intel
A4C494,Intel
AC7BA1,Intel
B0355B,Intel
B49691,Intel
BCA8A6,Intel
C0B6F9,Intel
C4D982,Intel
CC1531,Intel
D0577B,Intel
D8FC93,Intel
DC5360,Intel
E4A471,Intel
E86A64,Intel
F8597E,Intel
FC4482,Intel
#
# --- Sonos ---
000E58,Sonos
347E5C,Sonos
482260,Sonos
5CAAFD,Sonos
7828CA,Sonos
949F3E,Sonos
B8E937,Sonos
F0F6C1,Sonos
#
# --- Roku ---
008041,Roku
101248,Roku
20EF3C,Roku
88DEA9,Roku
AC3A7A,Roku
B0A737,Roku
B83E59,Roku
C83A6B,Roku
CC6DA0,Roku
DC3A5E,Roku
#
# --- Philips Hue / Signify ---
001788,Philips Hue
0017FF,Philips
ECB5FA,Philips Hue
#
# --- Ring / Wyze / cameras ---
0CAE7D,Ring
344B3D,Ring
9C8ECD,Ring
2CAA8E,Wyze
7C78B2,Wyze
A4DA22,Wyze
D03F27,Hikvision
4437E6,Hikvision
BCAD28,Hikvision
C0561D,Hikvision
000F7C,Axis Communications
00408C,Axis Communications
ACCC8E,Axis Communications
#
# --- Printers ---
0000AA,Xerox
001E0B,Hewlett Packard
0021F7,Hewlett Packard
002264,Hewlett Packard
00306E,Hewlett Packard
1458D0,Hewlett Packard
2C768A,Hewlett Packard
308D99,Hewlett Packard
3822D6,Hewlett Packard
6CC217,Hewlett Packard
9C8E99,Hewlett Packard
A0481C,Hewlett Packard
B00CD1,Hewlett Packard
D89D67,Hewlett Packard
E4E749,Hewlett Packard
008077,Brother
0080C8,Brother
30055C,Brother
3C2AF4,Brother
008092,Canon
00BB3A,Canon
2CD05A,Canon
2C9EFC,Canon
F48E38,Canon
001B87,Epson
38E6E1,Epson
44D244,Epson
64EB8C,Epson
9CAED3,Epson
#
# --- NAS / servers ---
000C29,VMware (virtual machine)
005056,VMware (virtual machine)
080027,VirtualBox (virtual machine)
525400,QEMU/KVM (virtual machine)
001132,Synology
000C43,Ralink
00089B,QNAP
245EBE,QNAP
#
# --- Other common network gear ---
000C41,Cisco-Linksys
001310,Cisco-Linksys
0018F8,Cisco-Linksys
002369,Cisco-Linksys
586D8F,Cisco-Linksys
00037F,Atheros
001E58,D-Link
00265A,D-Link
1CBDB9,D-Link
340804,D-Link
78542E,D-Link
842B2B,Dell
00188B,Dell
14FEB5,Dell
18DBF2,Dell
D067E5,Dell
F8BC12,Dell
0021CC,Foxconn (laptop wifi)
30105E,Foxconn (laptop wifi)
0024BE,Arris (ISP modem/router)
001DD3,Arris (ISP modem/router)
002642,Arris (ISP modem/router)
44E137,Arris (ISP modem/router)
001DCF,Technicolor (ISP router)
002293,Technicolor (ISP router)
3872C0,Technicolor (ISP router)
7CB733,Zyxel
5C6A80,Zyxel
0016E3,ASUSTek
1C872C,ASUSTek
2C56DC,ASUSTek
382C4A,ASUSTek
50465D,ASUSTek
7085C2,ASUSTek
AC220B,ASUSTek
D850E6,ASUSTek
F832E4,ASUSTek
286C07,Xiaomi
34CE00,Xiaomi
50644E,Xiaomi
64B473,Xiaomi
78028F,Xiaomi
8CBEBE,Xiaomi
9C99A0,Xiaomi
A08869,Xiaomi
F0B429,Xiaomi
FC64BA,Xiaomi
00259E,Huawei
04BD70,Huawei
086361,Huawei
1C1D67,Huawei
20F3A3,Huawei
48DB50,Huawei
5CF96A,Huawei
781DBA,Huawei
84A8E4,Huawei
E0247F,Huawei
001E4C,Sony
0013A9,Sony
30F9ED,Sony
54426B,Sony
78843C,Sony
FC0FE6,Sony (PlayStation)
0015C1,Sony (PlayStation)
0019C5,Sony (PlayStation)
709E29,Sony (PlayStation)
0009BF,Nintendo
0017AB,Nintendo
0019FD,Nintendo
0022AA,Nintendo
2C10C1,Nintendo
34AF2C,Nintendo
582F40,Nintendo
7CBB8A,Nintendo
98B6E9,Nintendo
002248,Microsoft
0017FA,Microsoft
28188E,Microsoft (Xbox)
507B9D,Microsoft (Xbox)
58821D,Microsoft
7CED8D,Microsoft
C83F26,Microsoft (Xbox)
0018DE,Intel
001C25,Hon Hai (laptop wifi)
002710,Hon Hai (laptop wifi)
00E04C,Realtek
52540B,Realtek
0050B6,Good Way (USB ethernet)
0006F5,Belkin
001CDF,Belkin
14919F,Belkin
94103E,Belkin
B4750E,Belkin
EC1A59,Belkin (Wemo)
#
# --- Smart home hubs and misc IoT ---
000D6F,Ember (Zigbee)
04CF8C,Xiaomi (Mi Home)
2405F5,Integrated Device Technology
5C0272,Wistron Neweb
6055F9,Chamberlain (MyQ)
680AE2,Chamberlain (MyQ)
B4E1C4,LIFX
D073D5,LIFX
CCB8A8,LIFX
1CB6DA,iRobot (Roomba)
3C6A2C,iRobot (Roomba)
501479,iRobot (Roomba)
80D2E5,Tuya (smart plug/bulb)
D4A651,Tuya (smart plug/bulb)
68572D,Tuya (smart plug/bulb)
104F5A,Ecobee
44619C,Ecobee
